# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.232, 4.665, 0.423, 0.559, 0.773, 0.102
0.437, 4.146, 0.67, 0.455, 0.63, 0.252
0.267, 4.563, 0.231, 0.452, 0.752, 0.395
0.216, 4.267, 0.158, 0.665, 0.816, 0.416
0.253, 4.339, 0.338, 0.613, 0.753, 0.396
0.107, 4.92, 0.119, 0.569, 0.845, 0.346
0.206, 3.852, 0.356, 0.547, 0.774, 0.441
0.336, 4.225, 0.413, 0.502, 0.706, 0.441
0.184, 4.217, 0.162, 0.536, 0.798, 0.387
0.42, 4.994, 0.621, 0.483, 0.62, 0.379
0.241, 4.101, 0.353, 0.526, 0.762, 0.112
0.238, 4.193, 0.292, 0.547, 0.751, 0.335
0.291, 4.476, 0.401, 0.677, 0.718, 0.416
0.183, 3.917, 0.155, 0.544, 0.831, 0.412
0.325, 5.487, 0.251, 0.477, 0.713, 0.191
0.388, 4.363, 0.552, 0.613, 0.653, 0.171
0.311, 3.941, 0.361, 0.608, 0.723, 0.458
0.205, 4.288, 0.351, 0.552, 0.771, 0.192
0.229, 4.197, 0.468, 0.614, 0.752, 0.088
0.254, 4.445, 0.275, 0.597, 0.758, 0.465
0.238, 4.193, 0.292, 0.547, 0.751, 0.335
0.303, 4.622, 0.368, 0.57, 0.713, 0.29
0.35, 5.226, 0.632, 0.5, 0.642, 0.11
0.478, 4.214, 0.704, 0.564, 0.605, 0.251
0.232, 3.937, 0.357, 0.713, 0.778, 0.129
0.656, 3.808, 0.793, 0.651, 0.586, 0.482
0.239, 3.615, 0.145, 0.625, 0.81, 0.462
0.253, 3.866, 0.34, 0.592, 0.761, 0.206
0.324, 4.253, 0.567, 0.402, 0.665, 0.198
0.203, 4.177, 0.111, 0.505, 0.811, 0.4
0.223, 4.316, 0.363, 0.612, 0.776, 0.24
0.165, 4.106, 0.336, 0.586, 0.781, 0.059
0.333, 4.778, 0.476, 0.554, 0.688, 0.472
0.2, 4.626, 0.289, 0.526, 0.769, 0.263
0.239, 4.397, 0.309, 0.623, 0.752, 0.245
0.311, 3.993, 0.47, 0.673, 0.726, 0.242
