# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.327, 5.165, 0.575, 0.488, 0.663, 0.135
0.366, 4.566, 0.506, 0.507, 0.676, 0.242
0.207, 4.752, 0.338, 0.537, 0.785, 0.201
0.447, 4.226, 0.543, 0.545, 0.628, 0.468
0.141, 4.501, 0.146, 0.504, 0.824, 0.271
0.25, 4.402, 0.317, 0.52, 0.76, 0.387
0.127, 4.436, 0.16, 0.564, 0.824, 0.402
0.251, 4.17, 0.297, 0.496, 0.747, 0.386
0.254, 4.454, 0.326, 0.547, 0.77, 0.34
0.301, 3.268, 0.324, 0.739, 0.75, 0.454
0.1, 4.503, 0.206, 0.551, 0.856, 0.126
0.297, 3.873, 0.479, 0.636, 0.705, 0.251
0.131, 4.752, 0.111, 0.525, 0.838, 0.132
0.18, 4.92, 0.293, 0.695, 0.765, 0.222
0.195, 3.889, 0.288, 0.727, 0.786, 0.476
0.206, 4.328, 0.291, 0.545, 0.777, 0.241
0.292, 4.061, 0.521, 0.525, 0.692, 0.498
1.05, 4.303, 1.155, 0.637, 0.445, 0.01
0.277, 4.152, 0.41, 0.688, 0.703, 0.492
0.151, 4.627, 0.254, 0.383, 0.796, 0.131
0.269, 4.185, 0.46, 0.653, 0.733, 0.294
0.394, 4.3, 0.602, 0.606, 0.657, 0.273
0.201, 4.434, 0.224, 0.745, 0.811, 0.071
0.211, 4.845, 0.28, 0.458, 0.761, 0.433
0.256, 3.926, 0.432, 0.636, 0.72, 0.289
0.185, 3.917, 0.163, 0.547, 0.828, 0.409
0.182, 4.433, 0.168, 0.674, 0.811, 0.231
0.23, 4.027, 0.181, 0.538, 0.783, 0.371
0.161, 4.847, 0.218, 0.537, 0.795, 0.255
0.214, 3.91, 0.145, 0.476, 0.786, 0.053
0.484, 4.369, 0.789, 0.669, 0.62, 0.354
0.389, 2.971, 0.523, 0.648, 0.708, 0.465
0.306, 4.403, 0.323, 0.476, 0.736, 0.247
0.299, 3.898, 0.414, 0.544, 0.702, 0.423
0.26, 4.149, 0.313, 0.597, 0.777, 0.465
0.128, 4.561, 0.214, 0.591, 0.788, 0.052
0.163, 4.608, 0.323, 0.558, 0.788, 0.005
0.201, 3.955, 0.321, 0.522, 0.792, 0.153
0.381, 4.592, 0.535, 0.37, 0.657, 0.441
0.193, 3.905, 0.344, 0.553, 0.778, 0.468
0.118, 4.558, 0.19, 0.558, 0.826, 0.255
0.335, 3.935, 0.439, 0.647, 0.696, 0.472
0.213, 3.793, 0.333, 0.466, 0.782, 0.123
0.231, 4.47, 0.261, 0.464, 0.759, 0.06
0.178, 4.094, 0.353, 0.757, 0.802, 0.087
0.29, 4.195, 0.352, 0.571, 0.732, 0.412
0.314, 4.145, 0.493, 0.66, 0.712, 0.327
0.185, 3.917, 0.163, 0.547, 0.828, 0.409
0.277, 4.062, 0.336, 0.714, 0.755, 0.303
0.195, 5.037, 0.209, 0.412, 0.762, 0.225
0.316, 4.342, 0.399, 0.597, 0.693, 0.284
0.327, 4.762, 0.585, 0.578, 0.692, 0.028
