# m [GeV], BG [GeV^{-2}], BGq [GeV^{-2}], smearingWidth, Nq, Qsg2muRatio, dqMin [fm]
0.848, 3.569, 0.537, 0.966, 8.167, 0.489, 0.48
0.799, 3.409, 0.556, 0.895, 6.856, 0.517, 0.392
0.323, 4.056, 0.354, 0.675, 3.621, 0.762, 0.161
0.443, 3.428, 0.312, 0.869, 7.197, 0.676, 0.312
0.539, 3.403, 0.469, 0.799, 5.036, 0.615, 0.483
0.451, 3.803, 0.445, 0.886, 7.254, 0.599, 0.099
0.364, 4.528, 0.432, 1.176, 8.362, 0.651, 0.018
0.689, 3.667, 0.577, 0.908, 8.152, 0.546, 0.251
0.816, 3.893, 0.625, 0.768, 5.428, 0.503, 0.256
0.398, 4.723, 0.296, 1.034, 9.689, 0.631, 0.065
0.601, 3.916, 0.446, 0.766, 7.489, 0.559, 0.223
0.424, 4.381, 0.56, 0.714, 5.256, 0.598, 0.256
0.447, 3.812, 0.315, 1.005, 8.978, 0.63, 0.412
0.499, 4.269, 0.262, 0.938, 9.994, 0.603, 0.043
0.353, 3.542, 0.414, 0.744, 4.357, 0.667, 0.357
0.679, 4.163, 0.494, 0.955, 9.256, 0.524, 0.273
0.284, 3.954, 0.289, 0.966, 6.538, 0.721, 0.25
1.068, 4.366, 0.725, 0.904, 9.871, 0.418, 0.393
0.308, 4.244, 0.348, 0.462, 2.662, 0.715, 0.488
0.394, 3.825, 0.186, 1.009, 8.104, 0.661, 0.471
0.798, 4.305, 0.517, 0.914, 9.326, 0.47, 0.434
0.375, 3.508, 0.359, 0.878, 4.377, 0.712, 0.442
0.805, 5.044, 0.612, 0.906, 9.759, 0.461, 0.209
0.984, 3.607, 0.543, 0.95, 8.774, 0.451, 0.427
0.724, 3.328, 0.526, 0.941, 8.482, 0.549, 0.38
0.382, 3.917, 0.243, 0.849, 7.269, 0.66, 0.407
0.576, 3.181, 0.347, 0.856, 7.946, 0.592, 0.441
0.097, 5.262, 0.122, 0.362, 2.362, 0.885, 0.137
1.803, 3.856, 0.87, 0.91, 9.01, 0.318, 0.411
0.382, 3.101, 0.339, 0.823, 6.248, 0.674, 0.121
0.271, 6.249, 0.215, 0.405, 1.969, 0.793, 0.467
0.154, 5.862, 0.166, 0.441, 1.837, 0.857, 0.399
1.876, 3.841, 0.737, 0.84, 9.046, 0.314, 0.375
0.495, 3.931, 0.588, 0.678, 4.426, 0.563, 0.026
1.025, 3.683, 0.542, 0.827, 7.532, 0.436, 0.477
1.443, 4.006, 0.79, 0.883, 8.364, 0.366, 0.3
1.218, 4.913, 0.745, 0.9, 9.301, 0.387, 0.174
1.334, 4.419, 0.817, 0.869, 8.542, 0.363, 0.365
0.573, 4.112, 0.503, 0.838, 6.825, 0.542, 0.21
0.673, 3.452, 0.505, 0.832, 6.065, 0.551, 0.402
0.528, 3.982, 0.376, 0.739, 7.616, 0.58, 0.162
0.613, 4.645, 0.551, 0.847, 9.154, 0.517, 0.059
0.195, 4.51, 0.27, 0.473, 2.849, 0.756, 0.215
0.585, 3.433, 0.522, 0.796, 4.563, 0.584, 0.496
0.36, 4.165, 0.429, 0.748, 3.55, 0.695, 0.229
0.523, 4.262, 0.409, 0.812, 6.811, 0.631, 0.31
0.429, 4.373, 0.292, 0.702, 6.664, 0.613, 0.077
0.645, 4.525, 0.491, 0.931, 9.588, 0.526, 0.049
0.383, 4.213, 0.423, 0.652, 4.544, 0.647, 0.031
0.437, 3.054, 0.222, 0.946, 5.78, 0.677, 0.429
0.123, 7.121, 0.118, 0.424, 1.571, 0.88, 0.19
0.265, 3.66, 0.182, 0.653, 4.993, 0.735, 0.046
0.615, 3.87, 0.44, 1.065, 9.591, 0.543, 0.325
0.856, 3.891, 0.739, 0.88, 6.707, 0.488, 0.28
0.389, 3.1, 0.192, 1.123, 9.699, 0.666, 0.342
0.537, 4.128, 0.646, 0.792, 6.09, 0.547, 0.177
1.688, 3.591, 0.887, 0.841, 6.571, 0.338, 0.324
0.507, 3.312, 0.679, 0.74, 3.277, 0.617, 0.444
0.519, 3.856, 0.264, 0.969, 9.422, 0.587, 0.468
0.097, 9.111, 0.13, 0.347, 1.606, 0.913, 0.099
0.205, 4.058, 0.366, 0.551, 3.605, 0.736, 0.402
0.422, 4.139, 0.392, 0.744, 5.606, 0.648, 0.08
0.422, 3.84, 0.387, 0.829, 5.042, 0.662, 0.465
0.101, 7.117, 0.167, 0.525, 1.714, 0.867, 0.337
0.611, 4.219, 0.394, 0.722, 6.75, 0.546, 0.252
0.603, 3.675, 0.45, 0.887, 7.167, 0.569, 0.334
0.348, 3.814, 0.332, 0.66, 4.15, 0.67, 0.165
0.132, 8.606, 0.227, 0.445, 1.518, 0.91, 0.341
0.307, 3.792, 0.309, 0.705, 5.161, 0.705, 0.045
0.237, 3.96, 0.238, 0.574, 3.911, 0.747, 0.287
0.666, 3.788, 0.571, 0.754, 6.74, 0.527, 0.437
0.408, 3.363, 0.292, 1.274, 9.664, 0.695, 0.059
1.767, 3.442, 0.768, 0.964, 8.256, 0.331, 0.449
0.38, 3.59, 0.374, 0.648, 4.198, 0.658, 0.265
0.334, 3.714, 0.2, 0.746, 7.125, 0.696, 0.279
1.679, 4.07, 0.829, 0.802, 6.33, 0.329, 0.293
0.196, 6.844, 0.331, 0.411, 1.732, 0.819, 0.328
0.915, 4.292, 0.777, 0.762, 6.97, 0.445, 0.376
0.559, 3.194, 0.463, 0.97, 8.196, 0.622, 0.17
0.38, 3.268, 0.385, 0.803, 5.326, 0.666, 0.221
0.604, 3.947, 0.573, 0.85, 8.475, 0.553, 0.273
0.504, 4.331, 0.459, 0.687, 5.103, 0.591, 0.442
0.169, 5.195, 0.384, 0.359, 2.171, 0.792, 0.37
0.469, 3.062, 0.296, 1.066, 9.625, 0.628, 0.447
0.507, 3.321, 0.388, 0.97, 8.635, 0.597, 0.451
0.716, 3.785, 0.661, 0.872, 6.626, 0.517, 0.397
0.499, 3.811, 0.677, 0.665, 3.739, 0.618, 0.248
0.155, 3.653, 0.224, 0.669, 3.08, 0.795, 0.489
0.098, 6.641, 0.135, 0.437, 1.827, 0.856, 0.14
0.277, 4.146, 0.26, 0.59, 3.494, 0.755, 0.05
0.378, 4.304, 0.518, 0.708, 4.089, 0.641, 0.054
0.235, 4.762, 0.29, 0.464, 2.901, 0.753, 0.182
0.447, 4.078, 0.587, 0.787, 6.577, 0.6, 0.107
0.945, 4.54, 0.758, 0.934, 8.321, 0.443, 0.16
0.397, 3.198, 0.344, 0.779, 4.269, 0.688, 0.415
0.208, 3.874, 0.231, 0.681, 3.741, 0.766, 0.403
0.79, 3.944, 0.552, 0.801, 8.172, 0.497, 0.085
0.653, 4.024, 0.418, 0.913, 8.618, 0.527, 0.343
0.393, 3.595, 0.238, 0.862, 5.728, 0.696, 0.43
0.382, 3.238, 0.283, 0.794, 5.706, 0.66, 0.496
0.175, 5.141, 0.333, 0.439, 2.225, 0.804, 0.061
0.567, 4.096, 0.494, 0.894, 6.947, 0.565, 0.16
0.487, 3.633, 0.379, 0.954, 6.538, 0.631, 0.055
0.528, 3.707, 0.275, 0.949, 9.342, 0.599, 0.119
1.157, 4.242, 0.667, 0.834, 8.235, 0.394, 0.086
0.293, 3.931, 0.432, 0.637, 3.475, 0.69, 0.254
0.348, 3.885, 0.395, 0.747, 4.078, 0.693, 0.135
0.121, 4.785, 0.169, 0.477, 1.897, 0.892, 0.099
0.415, 3.874, 0.556, 0.874, 5.319, 0.663, 0.349
0.39, 3.905, 0.422, 0.923, 5.465, 0.691, 0.123
0.521, 4.864, 0.507, 0.703, 6.305, 0.569, 0.304
1.913, 4.218, 1.139, 0.842, 6.824, 0.288, 0.187
0.37, 3.722, 0.193, 0.814, 6.267, 0.684, 0.046
0.77, 4.309, 0.482, 0.897, 9.393, 0.492, 0.382
0.119, 5.726, 0.192, 0.454, 1.798, 0.897, 0.224
0.765, 3.684, 0.475, 0.858, 7.866, 0.505, 0.38
1.745, 4.562, 0.955, 0.946, 7.261, 0.313, 0.213
0.588, 3.605, 0.573, 0.744, 6.92, 0.556, 0.413
0.48, 4.66, 0.648, 0.577, 3.612, 0.576, 0.272
0.891, 3.931, 0.764, 0.999, 8.849, 0.469, 0.271
0.299, 4.64, 0.326, 0.431, 3.495, 0.698, 0.359
0.168, 4.972, 0.283, 0.526, 1.813, 0.883, 0.218
0.549, 4.432, 0.342, 0.971, 8.272, 0.6, 0.068
0.219, 3.435, 0.312, 0.75, 3.875, 0.78, 0.369
0.141, 4.814, 0.298, 0.376, 1.972, 0.848, 0.085
0.699, 4.031, 0.629, 0.92, 8.285, 0.518, 0.044
0.557, 3.876, 0.435, 0.888, 8.512, 0.577, 0.319
0.565, 3.729, 0.514, 0.818, 7.162, 0.565, 0.149
0.417, 4.145, 0.507, 0.745, 4.851, 0.624, 0.497
0.459, 3.287, 0.256, 0.864, 6.159, 0.627, 0.499
0.075, 6.809, 0.157, 0.339, 1.619, 0.867, 0.24
0.405, 4.115, 0.284, 0.892, 7.452, 0.67, 0.149
0.363, 4.128, 0.451, 0.848, 7.045, 0.632, 0.064
0.618, 3.651, 0.212, 0.981, 9.342, 0.575, 0.302
0.698, 3.724, 0.696, 0.99, 8.763, 0.51, 0.191
0.498, 4.259, 0.45, 0.853, 5.853, 0.613, 0.187
0.323, 4.314, 0.584, 0.693, 3.909, 0.675, 0.019
0.314, 3.5, 0.5, 0.6, 3.567, 0.711, 0.213
0.61, 4.472, 0.471, 0.886, 8.987, 0.543, 0.101
0.462, 4.838, 0.623, 0.598, 3.534, 0.625, 0.016
0.467, 3.701, 0.437, 1.014, 8.286, 0.601, 0.11
0.376, 3.662, 0.191, 0.731, 5.898, 0.671, 0.202
0.393, 3.389, 0.213, 0.949, 7.326, 0.659, 0.441
1.701, 3.775, 0.781, 0.953, 9.447, 0.329, 0.32
