# m [GeV], BG [GeV^{-2}], BGq [GeV^{-2}], smearingWidth, Nq, Qsg2muRatio, dqMin [fm]
1.596, 3.961, 0.837, 0.851, 6.816, 0.351, 0.267
0.505, 4.512, 0.501, 0.577, 4.695, 0.587, 0.118
0.312, 4.804, 0.325, 0.512, 3.154, 0.706, 0.002
0.423, 3.016, 0.434, 0.791, 3.679, 0.651, 0.422
0.46, 2.842, 0.584, 0.688, 3.856, 0.659, 0.238
0.361, 3.662, 0.511, 0.901, 5.138, 0.661, 0.189
0.465, 3.865, 0.232, 0.968, 9.93, 0.621, 0.147
0.652, 4.435, 0.556, 0.96, 9.166, 0.524, 0.14
0.407, 4.153, 0.398, 0.779, 5.374, 0.651, 0.236
0.612, 3.893, 0.494, 0.933, 8.886, 0.556, 0.448
0.552, 3.92, 0.359, 0.863, 8.034, 0.586, 0.284
0.417, 3.231, 0.271, 0.884, 7.023, 0.654, 0.476
0.283, 4.535, 0.441, 0.674, 2.697, 0.746, 0.31
0.087, 5.881, 0.204, 0.39, 1.683, 0.883, 0.309
0.985, 4.361, 0.71, 0.751, 8.166, 0.43, 0.255
0.127, 5.508, 0.341, 0.427, 1.767, 0.849, 0.48
0.263, 4.115, 0.261, 0.594, 4.352, 0.732, 0.331
0.473, 3.631, 0.216, 0.941, 9.165, 0.612, 0.463
0.449, 3.88, 0.36, 0.888, 6.186, 0.647, 0.158
0.355, 3.129, 0.456, 0.816, 5.685, 0.672, 0.218
1.787, 4.155, 1.175, 0.745, 5.154, 0.326, 0.283
0.836, 4.08, 0.818, 0.776, 5.258, 0.481, 0.01
0.323, 3.61, 0.151, 0.781, 5.909, 0.7, 0.329
1.784, 4.507, 0.949, 0.91, 9.249, 0.303, 0.074
0.122, 5.397, 0.301, 0.379, 2.351, 0.813, 0.287
0.082, 7.362, 0.172, 0.318, 1.452, 0.916, 0.444
0.861, 3.695, 0.692, 1.07, 9.03, 0.495, 0.416
0.976, 4.169, 0.777, 1.098, 9.114, 0.439, 0.449
0.742, 3.508, 0.657, 0.826, 4.942, 0.545, 0.469
0.304, 3.537, 0.225, 0.861, 4.92, 0.736, 0.065
0.655, 4.222, 0.7, 0.884, 5.193, 0.547, 0.337
0.219, 5.591, 0.423, 0.424, 1.776, 0.808, 0.443
1.573, 3.896, 0.833, 0.898, 9.478, 0.33, 0.451
1.194, 3.614, 0.655, 1.072, 8.954, 0.423, 0.279
0.653, 4.215, 0.572, 0.797, 7.443, 0.526, 0.03
0.451, 4.26, 0.383, 0.81, 8.375, 0.606, 0.038
0.343, 3.747, 0.282, 0.923, 6.981, 0.671, 0.103
0.764, 4.026, 0.512, 0.853, 8.371, 0.515, 0.194
0.083, 9.245, 0.329, 0.497, 1.323, 0.869, 0.021
0.638, 4.803, 0.556, 0.894, 9.539, 0.51, 0.19
0.443, 3.3, 0.44, 0.848, 6.454, 0.623, 0.482
0.35, 3.87, 0.413, 0.795, 4.331, 0.693, 0.412
0.416, 3.954, 0.345, 0.952, 6.775, 0.641, 0.28
0.4, 3.495, 0.205, 0.781, 7.028, 0.657, 0.218
0.209, 4.407, 0.437, 0.566, 3.238, 0.725, 0.152
1.012, 4.1, 0.689, 0.922, 9.388, 0.435, 0.343
0.512, 3.225, 0.33, 0.903, 7.223, 0.626, 0.498
1.344, 4.791, 0.977, 0.813, 7.588, 0.356, 0.05
0.577, 4.002, 0.453, 1.013, 8.247, 0.573, 0.249
1.378, 3.738, 0.738, 0.898, 7.071, 0.38, 0.465
1.083, 4.85, 0.764, 0.796, 8.589, 0.401, 0.466
0.176, 5.847, 0.249, 0.484, 1.947, 0.832, 0.094
0.604, 4.086, 0.39, 0.879, 6.361, 0.585, 0.387
1.875, 3.94, 0.688, 0.826, 7.373, 0.315, 0.406
1.748, 3.471, 1.014, 1.085, 9.932, 0.335, 0.253
0.374, 3.254, 0.142, 1.026, 8.916, 0.699, 0.413
0.482, 3.745, 0.252, 0.99, 8.856, 0.64, 0.358
0.372, 3.84, 0.717, 0.709, 2.898, 0.669, 0.042
0.302, 4.75, 0.597, 0.517, 3.267, 0.659, 0.333
1.745, 4.562, 0.955, 0.946, 7.261, 0.313, 0.213
0.659, 3.678, 0.536, 0.852, 6.285, 0.552, 0.417
0.311, 4.406, 0.338, 0.637, 4.035, 0.726, 0.124
0.922, 3.918, 0.6, 0.816, 8.6, 0.46, 0.407
0.505, 3.808, 0.302, 0.988, 9.994, 0.599, 0.086
0.507, 3.888, 0.31, 0.948, 8.995, 0.592, 0.203
0.301, 4.188, 0.504, 0.566, 2.645, 0.725, 0.397
0.958, 4.124, 0.732, 1.025, 9.693, 0.449, 0.422
0.297, 3.631, 0.264, 0.805, 4.788, 0.727, 0.281
1.042, 4.824, 0.737, 0.757, 9.294, 0.425, 0.018
0.354, 4.21, 0.448, 0.667, 3.949, 0.69, 0.24
0.898, 3.368, 0.585, 0.945, 8.875, 0.474, 0.46
0.477, 3.791, 0.46, 0.76, 5.709, 0.589, 0.381
0.585, 3.511, 0.385, 0.954, 7.8, 0.577, 0.295
1.453, 4.811, 1.013, 0.758, 7.623, 0.33, 0.251
0.595, 3.769, 0.707, 0.85, 4.539, 0.567, 0.321
1.126, 3.906, 0.799, 0.795, 8.481, 0.409, 0.045
0.745, 3.356, 0.638, 0.984, 8.118, 0.527, 0.417
0.633, 4.162, 0.667, 0.791, 6.618, 0.538, 0.195
0.22, 4.579, 0.556, 0.525, 2.904, 0.744, 0.111
1.305, 3.998, 0.863, 0.96, 8.649, 0.371, 0.317
0.362, 3.831, 0.491, 0.624, 3.81, 0.679, 0.383
0.496, 4.29, 0.401, 0.782, 9.032, 0.577, 0.108
0.378, 4.109, 0.154, 1.041, 9.218, 0.667, 0.118
0.543, 3.647, 0.405, 0.893, 7.519, 0.605, 0.333
0.546, 4.01, 0.442, 0.795, 7.428, 0.577, 0.014
0.555, 3.794, 0.314, 0.916, 8.977, 0.6, 0.115
0.739, 4.359, 0.564, 0.839, 6.808, 0.514, 0.318
0.147, 5.961, 0.159, 0.422, 1.836, 0.843, 0.415
0.471, 4.596, 0.391, 0.722, 4.639, 0.612, 0.195
0.3, 3.918, 0.167, 0.662, 4.049, 0.725, 0.183
0.191, 4.178, 0.299, 0.485, 2.106, 0.844, 0.469
1.936, 3.857, 0.873, 1.012, 8.85, 0.315, 0.437
0.165, 4.726, 0.44, 0.483, 2.394, 0.791, 0.302
0.068, 6.097, 0.106, 0.268, 1.728, 0.904, 0.445
0.401, 3.985, 0.493, 0.699, 4.824, 0.648, 0.158
0.296, 3.346, 0.338, 0.864, 5.579, 0.704, 0.122
0.281, 3.942, 0.483, 0.549, 2.209, 0.726, 0.296
0.365, 4.792, 0.437, 0.57, 4.326, 0.635, 0.341
0.32, 4.16, 0.479, 0.484, 2.651, 0.716, 0.425
1.157, 3.704, 0.807, 0.916, 7.872, 0.41, 0.365
0.315, 3.566, 0.348, 0.78, 3.988, 0.712, 0.015
0.347, 3.377, 0.264, 0.915, 6.873, 0.666, 0.491
0.476, 3.153, 0.457, 0.898, 5.723, 0.635, 0.287
1.088, 4.023, 0.789, 0.813, 6.38, 0.43, 0.387
0.495, 3.475, 0.487, 0.782, 5.361, 0.63, 0.184
1.895, 3.926, 0.879, 1.0, 8.796, 0.316, 0.419
0.394, 3.631, 0.686, 0.779, 3.627, 0.658, 0.295
0.514, 3.7, 0.671, 0.627, 4.665, 0.579, 0.439
0.56, 3.892, 0.41, 0.95, 8.115, 0.595, 0.193
0.435, 4.248, 0.483, 0.837, 6.574, 0.618, 0.27
0.735, 4.121, 0.887, 0.708, 4.559, 0.499, 0.401
1.617, 3.981, 0.769, 0.877, 8.268, 0.341, 0.362
0.331, 3.707, 0.204, 0.825, 8.755, 0.666, 0.04
0.754, 4.49, 0.676, 0.927, 9.978, 0.484, 0.306
0.837, 3.264, 0.718, 1.099, 9.61, 0.478, 0.494
0.374, 2.974, 0.312, 1.0, 5.982, 0.693, 0.277
0.158, 6.228, 0.305, 0.438, 2.098, 0.797, 0.475
1.381, 4.153, 0.804, 0.911, 8.256, 0.367, 0.085
1.311, 3.985, 0.829, 0.811, 6.525, 0.391, 0.065
0.158, 6.257, 0.242, 0.248, 2.055, 0.797, 0.469
0.456, 2.749, 0.389, 0.84, 6.082, 0.626, 0.198
0.969, 4.611, 0.689, 0.878, 9.152, 0.431, 0.345
0.519, 4.41, 0.41, 0.911, 6.964, 0.563, 0.187
1.21, 4.933, 0.831, 0.813, 8.909, 0.386, 0.092
0.407, 3.738, 0.271, 1.074, 9.826, 0.621, 0.313
0.355, 3.906, 0.591, 0.704, 4.425, 0.648, 0.035
0.402, 4.123, 0.339, 0.645, 5.275, 0.631, 0.48
0.502, 3.661, 0.415, 0.884, 6.707, 0.622, 0.395
1.363, 3.439, 0.909, 0.916, 8.098, 0.365, 0.354
0.95, 3.862, 0.753, 0.916, 6.791, 0.465, 0.2
0.074, 7.271, 0.118, 0.369, 1.683, 0.933, 0.414
0.343, 3.482, 0.333, 0.89, 5.769, 0.686, 0.326
0.422, 4.034, 0.548, 0.65, 4.329, 0.653, 0.157
0.118, 8.681, 0.16, 0.512, 1.582, 0.897, 0.045
0.603, 3.65, 0.473, 1.045, 9.387, 0.566, 0.333
0.406, 3.276, 0.437, 1.088, 7.5, 0.671, 0.245
1.117, 4.682, 0.826, 0.916, 8.576, 0.398, 0.18
0.45, 4.713, 0.589, 0.607, 4.244, 0.605, 0.139
0.612, 4.444, 0.438, 0.772, 7.39, 0.544, 0.218
1.937, 3.34, 0.897, 0.999, 8.638, 0.311, 0.135
1.811, 4.892, 0.887, 0.967, 9.402, 0.299, 0.105
0.52, 3.383, 0.599, 0.816, 4.905, 0.596, 0.279
0.357, 3.132, 0.519, 0.951, 6.379, 0.662, 0.108
0.451, 4.275, 0.301, 0.847, 7.201, 0.623, 0.086
0.906, 4.364, 0.751, 0.869, 8.84, 0.448, 0.225
0.505, 3.696, 0.43, 1.072, 7.745, 0.616, 0.491
0.445, 3.811, 0.341, 0.862, 8.341, 0.622, 0.116
0.296, 3.756, 0.21, 0.663, 3.104, 0.768, 0.262
1.106, 3.628, 0.872, 0.835, 7.736, 0.408, 0.478
0.123, 7.341, 0.247, 0.43, 1.618, 0.868, 0.363
0.407, 4.285, 0.499, 0.821, 6.088, 0.608, 0.041
1.117, 4.323, 0.721, 0.913, 8.899, 0.401, 0.47
0.361, 3.353, 0.159, 1.12, 9.588, 0.702, 0.096
0.388, 3.604, 0.34, 0.834, 6.904, 0.666, 0.002
1.213, 3.351, 0.951, 1.004, 8.409, 0.399, 0.414
0.339, 3.746, 0.625, 0.68, 2.977, 0.697, 0.47
1.374, 4.244, 0.794, 0.807, 7.719, 0.367, 0.422
0.135, 4.583, 0.299, 0.568, 2.561, 0.83, 0.049
0.844, 4.244, 0.691, 1.03, 9.358, 0.459, 0.415
0.48, 3.683, 0.328, 0.878, 8.54, 0.612, 0.1
0.437, 3.916, 0.446, 0.893, 5.393, 0.639, 0.331
0.417, 4.063, 0.35, 0.765, 5.928, 0.652, 0.07
0.781, 4.056, 0.666, 0.67, 4.864, 0.483, 0.499
0.517, 3.724, 0.368, 0.912, 9.007, 0.587, 0.135
1.875, 3.663, 0.93, 0.866, 9.198, 0.298, 0.359
0.345, 4.456, 0.455, 0.774, 5.528, 0.63, 0.226
0.181, 5.912, 0.277, 0.48, 2.031, 0.842, 0.098
0.436, 4.107, 0.378, 0.849, 6.505, 0.634, 0.062
0.603, 3.8, 0.422, 0.905, 9.165, 0.555, 0.204
0.539, 3.795, 0.48, 0.978, 8.889, 0.608, 0.303
1.724, 3.549, 0.845, 0.984, 9.335, 0.328, 0.491
0.669, 3.907, 0.529, 0.747, 8.518, 0.506, 0.066
0.395, 4.512, 0.583, 0.508, 2.806, 0.675, 0.316
0.42, 4.08, 0.278, 0.979, 7.869, 0.669, 0.408
0.363, 3.803, 0.545, 0.655, 3.708, 0.676, 0.49
0.301, 3.62, 0.215, 0.415, 3.207, 0.728, 0.484
0.536, 3.603, 0.375, 0.805, 7.392, 0.573, 0.232
1.344, 3.693, 0.869, 0.741, 5.731, 0.388, 0.325
0.452, 3.601, 0.499, 0.686, 3.951, 0.618, 0.097
0.476, 4.045, 0.314, 0.976, 7.191, 0.644, 0.131
0.381, 3.526, 0.156, 0.883, 8.188, 0.683, 0.078
0.716, 3.971, 0.469, 0.819, 7.43, 0.524, 0.252
0.982, 4.316, 0.641, 0.914, 8.683, 0.444, 0.172
0.422, 4.086, 0.368, 0.842, 8.068, 0.612, 0.057
0.534, 3.417, 0.557, 0.923, 7.311, 0.584, 0.36
0.599, 3.992, 0.341, 0.983, 9.802, 0.56, 0.15
0.506, 4.204, 0.481, 0.919, 8.687, 0.58, 0.165
0.417, 3.917, 0.337, 0.728, 7.749, 0.612, 0.245
0.57, 3.86, 0.586, 1.195, 8.297, 0.581, 0.33
1.37, 4.492, 0.847, 0.829, 7.604, 0.367, 0.027
