# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.173, 3.93, 0.449, 0.527, 0.569, 0.355
0.108, 3.782, 0.332, 0.602, 0.588, 0.447
0.063, 4.049, 0.185, 0.469, 0.641, 0.066
0.068, 3.513, 0.202, 0.548, 0.621, 0.394
0.081, 3.292, 0.227, 0.702, 0.629, 0.287
0.177, 3.73, 0.442, 0.41, 0.542, 0.448
0.062, 3.994, 0.198, 0.419, 0.579, 0.349
0.105, 4.129, 0.328, 0.545, 0.618, 0.361
0.105, 3.609, 0.421, 0.609, 0.596, 0.466
0.125, 3.878, 0.244, 0.555, 0.598, 0.479
0.117, 3.914, 0.469, 0.69, 0.581, 0.123
0.146, 3.426, 0.404, 0.648, 0.591, 0.475
0.085, 4.366, 0.223, 0.55, 0.605, 0.015
0.224, 3.702, 0.63, 0.543, 0.542, 0.418
0.132, 4.024, 0.466, 0.667, 0.579, 0.288
0.172, 3.433, 0.369, 0.643, 0.574, 0.499
0.104, 3.478, 0.19, 0.626, 0.614, 0.299
0.092, 3.411, 0.243, 0.677, 0.621, 0.451
0.108, 3.798, 0.391, 0.651, 0.579, 0.415
0.055, 4.017, 0.228, 0.592, 0.611, 0.263
0.122, 3.907, 0.396, 0.568, 0.597, 0.231
0.103, 3.311, 0.403, 0.503, 0.582, 0.471
0.145, 3.654, 0.387, 0.502, 0.562, 0.34
0.088, 4.354, 0.219, 0.483, 0.61, 0.225
0.106, 3.495, 0.396, 0.734, 0.599, 0.146
0.076, 4.203, 0.317, 0.458, 0.587, 0.032
0.151, 3.947, 0.509, 0.576, 0.597, 0.167
0.122, 3.962, 0.215, 0.492, 0.594, 0.427
0.062, 4.157, 0.108, 0.336, 0.612, 0.0
0.16, 3.953, 0.284, 0.529, 0.595, 0.315
0.109, 3.812, 0.407, 0.542, 0.6, 0.168
0.16, 3.888, 0.401, 0.542, 0.567, 0.363
0.076, 3.795, 0.292, 0.47, 0.586, 0.477
0.16, 3.256, 0.529, 0.601, 0.575, 0.458
0.07, 3.765, 0.417, 0.573, 0.585, 0.175
0.132, 4.107, 0.378, 0.463, 0.59, 0.298
0.127, 4.195, 0.349, 0.509, 0.58, 0.129
0.156, 3.877, 0.255, 0.631, 0.633, 0.286
0.125, 3.606, 0.449, 0.589, 0.562, 0.26
0.107, 4.464, 0.396, 0.529, 0.596, 0.136
0.08, 3.395, 0.162, 0.515, 0.62, 0.428
0.112, 4.231, 0.287, 0.567, 0.572, 0.196
0.1, 3.741, 0.226, 0.663, 0.625, 0.457
0.133, 3.809, 0.313, 0.537, 0.608, 0.275
0.068, 3.728, 0.403, 0.675, 0.597, 0.014
0.106, 4.346, 0.259, 0.525, 0.614, 0.194
0.084, 4.665, 0.327, 0.498, 0.585, 0.119
0.13, 3.79, 0.332, 0.518, 0.597, 0.325
0.087, 3.344, 0.293, 0.587, 0.589, 0.454
0.062, 3.538, 0.502, 0.577, 0.608, 0.37
0.06, 3.76, 0.299, 0.587, 0.629, 0.254
0.117, 3.849, 0.278, 0.406, 0.591, 0.419
0.061, 4.123, 0.107, 0.543, 0.638, 0.478
0.08, 4.406, 0.368, 0.546, 0.578, 0.275
0.059, 3.363, 0.225, 0.543, 0.602, 0.193
0.07, 3.703, 0.149, 0.58, 0.604, 0.481
0.104, 4.609, 0.385, 0.457, 0.565, 0.057
0.1, 4.12, 0.245, 0.627, 0.596, 0.354
0.099, 3.688, 0.244, 0.751, 0.604, 0.274
0.127, 3.38, 0.263, 0.632, 0.587, 0.479
0.082, 3.639, 0.398, 0.566, 0.598, 0.495
0.082, 3.881, 0.412, 0.693, 0.587, 0.301
0.149, 3.654, 0.604, 0.565, 0.559, 0.336
0.077, 3.806, 0.286, 0.521, 0.605, 0.444
0.086, 3.954, 0.197, 0.492, 0.608, 0.18
0.13, 3.544, 0.602, 0.484, 0.555, 0.49
0.067, 3.463, 0.301, 0.692, 0.627, 0.368
0.102, 4.074, 0.189, 0.477, 0.593, 0.133
0.127, 3.854, 0.3, 0.564, 0.593, 0.383
0.082, 3.601, 0.204, 0.681, 0.625, 0.346
0.087, 4.258, 0.145, 0.515, 0.639, 0.142
0.077, 3.8, 0.107, 0.659, 0.639, 0.333
0.185, 3.29, 0.533, 0.536, 0.561, 0.411
0.172, 3.429, 0.526, 0.439, 0.52, 0.466
0.087, 3.887, 0.226, 0.619, 0.619, 0.204
0.085, 3.912, 0.298, 0.479, 0.609, 0.131
0.128, 3.347, 0.492, 0.526, 0.557, 0.47
0.098, 4.011, 0.363, 0.429, 0.595, 0.073
0.117, 3.256, 0.226, 0.665, 0.634, 0.492
