# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.101, 4.136, 0.395, 0.557, 0.589, 0.063
0.081, 3.839, 0.187, 0.551, 0.641, 0.239
0.113, 4.298, 0.399, 0.433, 0.576, 0.111
0.12, 3.843, 0.431, 0.586, 0.571, 0.244
0.152, 3.546, 0.564, 0.524, 0.534, 0.366
0.053, 3.552, 0.404, 0.486, 0.599, 0.157
0.057, 3.244, 0.169, 0.715, 0.644, 0.154
0.202, 3.879, 0.54, 0.411, 0.566, 0.454
0.111, 3.948, 0.456, 0.553, 0.589, 0.212
0.156, 4.059, 0.373, 0.576, 0.585, 0.388
0.131, 3.955, 0.238, 0.566, 0.581, 0.456
0.151, 3.49, 0.368, 0.635, 0.601, 0.381
0.065, 3.014, 0.337, 0.553, 0.619, 0.417
0.086, 4.011, 0.369, 0.582, 0.602, 0.438
0.083, 3.892, 0.263, 0.432, 0.601, 0.156
0.092, 4.128, 0.203, 0.422, 0.614, 0.221
0.166, 4.369, 0.415, 0.59, 0.563, 0.368
0.092, 4.636, 0.162, 0.465, 0.617, 0.171
0.101, 4.322, 0.315, 0.581, 0.6, 0.124
0.06, 3.793, 0.237, 0.338, 0.594, 0.171
0.106, 4.403, 0.204, 0.56, 0.623, 0.387
0.059, 4.487, 0.183, 0.562, 0.599, 0.049
0.105, 3.937, 0.397, 0.621, 0.573, 0.483
0.057, 4.038, 0.279, 0.646, 0.605, 0.003
0.099, 3.487, 0.393, 0.609, 0.595, 0.405
0.059, 4.078, 0.196, 0.691, 0.609, 0.203
0.128, 3.307, 0.375, 0.566, 0.586, 0.487
0.086, 3.716, 0.193, 0.761, 0.629, 0.348
0.053, 4.181, 0.257, 0.475, 0.587, 0.125
0.08, 4.349, 0.186, 0.514, 0.599, 0.017
0.123, 3.94, 0.469, 0.669, 0.557, 0.391
0.152, 3.837, 0.413, 0.544, 0.546, 0.299
0.101, 3.44, 0.306, 0.484, 0.576, 0.338
0.185, 3.739, 0.588, 0.542, 0.537, 0.21
0.173, 3.872, 0.454, 0.529, 0.563, 0.319
0.141, 3.901, 0.312, 0.434, 0.578, 0.444
0.129, 3.33, 0.525, 0.568, 0.577, 0.296
0.078, 4.146, 0.28, 0.544, 0.597, 0.344
0.103, 3.979, 0.35, 0.658, 0.596, 0.472
0.111, 3.787, 0.383, 0.697, 0.598, 0.032
0.095, 4.48, 0.531, 0.467, 0.559, 0.47
0.105, 3.229, 0.249, 0.549, 0.606, 0.372
0.092, 3.353, 0.306, 0.506, 0.585, 0.398
0.15, 3.925, 0.407, 0.498, 0.571, 0.272
0.081, 3.958, 0.187, 0.538, 0.634, 0.448
0.146, 3.609, 0.52, 0.684, 0.576, 0.415
0.095, 3.876, 0.313, 0.554, 0.589, 0.03
0.095, 3.385, 0.45, 0.504, 0.569, 0.315
0.116, 3.143, 0.357, 0.644, 0.582, 0.492
0.073, 3.831, 0.219, 0.424, 0.605, 0.181
0.073, 3.977, 0.258, 0.485, 0.61, 0.127
0.067, 4.305, 0.37, 0.591, 0.605, 0.08
